                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.695,                 5.2142,                 1.0269,                0.00615,                  4e-05,                0.00311,                0.00202,                 1.4164,                 5.1208,                0.97438,               0.070682,              0.0032576,              0.0032576
                      1,                 1.5954,                 4.2569,                 0.9887,                0.01911,                0.07647,                 0.0273,                0.01825,                 1.4946,                 3.9774,                 1.0198,               0.040356,              0.0062647,              0.0062647
                      2,                 1.6947,                 3.4226,                 1.0162,                0.02789,                0.11262,                0.04604,                 0.0273,                 1.5839,                 3.5386,                 1.0348,              0.0096993,              0.0089417,              0.0089417
                      3,                 1.6297,                 2.8943,                 1.0004,                0.53403,                0.07272,                 0.0607,                0.03816,                 1.3962,                 2.8699,                0.99783,               0.008515,               0.008515,               0.008515
                      4,                  1.554,                 2.5768,                0.99468,                0.55392,                0.09552,                0.08014,                0.05594,                 1.3547,                 2.6201,                 0.9946,               0.008515,               0.008515,               0.008515
                      5,                 1.4884,                 2.3687,                0.97562,                0.51061,                0.08986,                0.08423,                  0.056,                 1.3723,                 2.1625,                 0.9931,                0.00802,                0.00802,                0.00802
                      6,                 1.4486,                 2.1424,                0.96238,                0.51113,                 0.0975,                0.09507,                0.06311,                 1.3697,                 1.9785,                0.99256,               0.007525,               0.007525,               0.007525
                      7,                 1.3816,                 1.9416,                0.95303,                0.59419,                0.11796,                0.12446,                0.08535,                 1.2899,                 1.7862,                 0.9717,                0.00703,                0.00703,                0.00703
                      8,                 1.3661,                 1.8196,                0.94823,                 0.6382,                0.12656,                0.13748,                 0.0942,                 1.2756,                 1.6513,                 0.9724,               0.006535,               0.006535,               0.006535
                      9,                 1.3388,                 1.7032,                0.94397,                0.57976,                0.14252,                0.15411,                 0.1075,                 1.2217,                 1.5077,                0.95457,                0.00604,                0.00604,                0.00604
                     10,                 1.3044,                 1.5793,                 0.9396,                0.61121,                0.16665,                0.18708,                0.12931,                 1.2405,                 1.4697,                0.95589,               0.005545,               0.005545,               0.005545
                     11,                 1.2846,                 1.4734,                  0.928,                0.64261,                0.19878,                0.21458,                0.14959,                 1.2086,                 1.4028,                0.95074,                0.00505,                0.00505,                0.00505
                     12,                 1.2596,                 1.4747,                0.92252,                0.64868,                0.19488,                0.21944,                 0.1537,                 1.1973,                 1.3257,                0.94695,               0.004555,               0.004555,               0.004555
                     13,                 1.2613,                 1.4215,                0.92495,                0.59545,                0.20107,                0.21462,                0.15061,                 1.1807,                 1.2638,                0.94383,                0.00406,                0.00406,                0.00406
                     14,                 1.2206,                 1.3613,                0.91928,                0.62421,                0.22173,                0.24016,                0.16826,                 1.1778,                 1.2092,                0.94041,               0.003565,               0.003565,               0.003565
                     15,                 1.2217,                 1.3201,                0.92223,                0.63941,                0.22467,                0.24726,                0.17412,                 1.1485,                 1.1738,                0.93491,                0.00307,                0.00307,                0.00307
                     16,                 1.2201,                  1.287,                0.92345,                0.68401,                0.25863,                0.28415,                0.19981,                 1.1484,                 1.1603,                0.93252,               0.002575,               0.002575,               0.002575
                     17,                 1.2013,                 1.2358,                0.91903,                0.68001,                0.26905,                0.29607,                0.20779,                 1.1509,                 1.1394,                0.93256,                0.00208,                0.00208,                0.00208
                     18,                 1.1981,                 1.2495,                0.91169,                0.68714,                0.29505,                0.31513,                0.22218,                 1.1426,                 1.1485,                0.93362,               0.001585,               0.001585,               0.001585
                     19,                 1.1764,                 1.2103,                0.90967,                0.65874,                0.28596,                0.31408,                0.22326,                 1.1277,                 1.1041,                0.92844,                0.00109,                0.00109,                0.00109
